CO2 intensity of generation (gCO2/KWh),Community Renewables,Consumer Evolution,Steady Progression,Two Degrees
2018,248,248,248,248
2019,116.4665,142.0029,136.1091,117.2239
2020,95.58756,131.4336,136.6974,97.41301
2021,78.63934,113.0566,136.4378,69.19139
2022,59.51423,106.2662,119.5516,57.56
2023,56.4209,99.57828,128.4817,53.57389
2024,55.37648,111.8316,123.7064,44.32626
2025,46.00139,110.443,110.8931,38.68621
2026,35.60676,105.2121,112.6654,29.28597
2027,31.58264,113.3498,107.6377,25.46709
2028,31.00144,131.9306,116.7434,29.17734
2029,24.46323,122.0099,91.55551,26.72145
2030,24.85457,112.7203,74.34736,27.50018
2031,23.09826,108.5861,70.07859,23.21301
2032,21.37101,94.64954,79.95547,19.76662
2033,19.88207,89.85263,77.57827,17.20726
2034,18.99187,84.59563,74.2402,16.34994
2035,18.3345,79.36284,61.89212,14.96852
2036,17.752,73.4209,53.24067,14.29372
2037,15.7506,72.30603,51.93064,13.79754
2038,14.38353,74.0341,45.62339,13.37381
2039,14.48535,73.05801,43.562,13.09488
2040,14.55956,73.13863,44.84015,12.95184
2041,14.7391,75.18607,44.12152,13.31803
2042,14.84931,78.47122,45.85505,13.47747
2043,14.39541,80.32377,45.04528,13.47978
2044,14.62546,84.33469,46.95739,13.44804
2045,14.83062,87.69026,46.76271,13.60117
2046,15.12585,89.11665,48.47947,13.64378
2047,15.58695,91.7318,48.44932,13.71852
2048,16.22871,93.62663,47.94962,13.73707
2049,16.66423,93.6152,48.51311,13.8049
2050,17.13834,94.97784,47.05341,13.93427
